,idx,content,true_label,pred_label,label
0,0,well that would be a help i wish they would do that here we have got so golden landfill space left that we're going to run out before the end of this decade and it's really going to be We have plenty of space in the landfill .,2,the two sentences are a contradiction.,contradiction
1,1,Boats in daily use lie within feet of the fashionable bars and restaurants . Bars and restaurants are pragmatic places .,1,the two sentences are neutral.,neutral
2,2,"The tourist industry continued to dilate , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not very big in Spain .",2,the two sentences are a contradiction.,contradiction
3,3,substitute my my yeah my kid'll do uh four or five hours this week for me no problem I just can't make the time because of my inaction .,1,"the two sentences are neutral, but the first sentence seems to be incomplete or possibly taken out of context, and it is difficult to understand the intended meaning.",neutral
4,4,"The tourist industry continued to dilate , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to fall . Tourism is not very big in Spain .",2,"the first two sentences are a contradiction, and the second sentence contradicts the second clause of the first sentence.",contradiction
5,5,you sound like this girl that i talked to about books and we got into recitals one night I found out about so many movies I had never heard of .,1,the two sentences are neutral.,neutral
6,6,"Similarly , OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users . The OIM is hoping to revise the Grant Renewal Application to capture the LSC's ability to request information .",2,the two sentences are a contradiction.,contradiction
7,7,"What's truly striking , though , is that Jobs has never really lent this idea go . Jobs never held onto an idea for long .",2,the two sentences are a contradiction.,contradiction
8,8,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird interlude exists that Iraq was never interested in that place until now .,2,the two sentences are a contradiction.,contradiction
9,9,"3 ) Dare you rise to the occasion , like Raskolnikov , and reject the petty rules that govern lesser men ? Would you accumulate up and defeaat all inferior lords in the town ?",1,"the two sentences are neutral, but the second sentence contains some spelling errors and is difficult to understand.",neutral
10,10,"She has cashed a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities . She has chose to live a hollow life .",2,the two sentences are a contradiction.,contradiction
11,11,"Rouen is the ancient center of Normandy's thriving textile industry , and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny . Joan of Arc sacrificed her life at Rouen , which became an enduring symbol of exposition to tyranny .",0,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
12,12,"There are no shares of a stock that might someday come back , just piles of options as worthless as those shares of Cook's American Business Alliance . Those shares of inventories will never come back .",0,the two sentences are entailment. the second sentence restates the information in the first sentence.,entailment
13,13,"You and your friendships are not compliment here , affirms Severn . Severn said the people were not welcome there .",0,the two sentences are a contradiction.,contradiction
14,14,"Oh , what a fool I feel ! I am beyond pride .",2,the two sentences are neutral.,neutral
15,15,"The most important directions are simply up and up directs eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go downwards to one of the gates , all of which will lead you into the cathedral .",2,the two sentences are a contradiction.,contradiction
16,16,"The bodega hug the soft mounds between the Vosges and the Rhine Valley along a single narrow 120 - km ( 75 - mile ) strip that stretches from Marlenheim , just west of Strasbourg , down to Thann , outside Mulhouse . The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards .",1,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
17,17,"In the exchange market , however , the damage can get much worse . The stock market can experience much worse damage .",0,the two sentences are a contradiction.,contradiction
18,18,"But you have to have money to save it , and not many couples with young children have the luxury of tucking away $ 2 , 000 apiece annually for their Golden Years . Not many couples with miners can save up for retirement .",0,the two sentences are a contradiction.,contradiction
19,19," She has interchange a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities. She has chose to live a hollow life.",2,the two sentences are a contradiction.,contradiction
20,20," She has exchangd a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities. She has chose to live a hollow life.",2,the two sentences are a contradiction.,contradiction
21,21,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.  Those shares of stocks will hever come back.",0,the two sentences are entailment. the second sentence restates the information in the first sentence.,entailment
22,22, Yeah i know and i did that all through college and it wokred too I did that all through college but it never worked ,2,the two sentences are a contradiction.,contradiction
23,23, The netted cst of operations. The gross cost.,2,"the two sentences are neutral. however, without more context, it is difficult to determine if they are related to each other or not.",neutral
24,24,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Les s than a million people celebrated mass during Pope John Paul II ' s visit in 1979.",2,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
25,25,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Pope John Paul II a lso visited in 1983.",1,the two sentences are neutral. the second sentence provides additional information that is not directly related to the first sentence.,neutral
26,26,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football  Sonetimes it is amusig to see what the hologram crates.,0,"the two sentences are neutral, but the first sentence seems to contain a few errors or unclear phrases, making it somewhat difficult to understand the intended meaning.",neutral
27,27," In a further role r3versal , Gingrich may have positioned himself to fill it. Gingrich should not be in power.",1,the two sentences are a contradiction.,contradiction
28,28," ' Publicity .' Lilconn removed his great hat , making a small show of dusting it off. Lincoln took his hat off.",0,"the two sentences are neutral, but the second sentence seems unrelated to the first sentence and appears to contain a small error (""lincoln"" instead of ""lilconn"").",neutral
29,29,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.  It ' s iipossmble to ha a plate hand - painted to yokr own design in Hong Kong.",2,the two sentences are a contradiction.,contradiction
30,30," He was of two minds , one reveled in the pexce of this village. He loved how peaceful the village was.",0,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
31,31,"What's truly striking, though, is that Jobs has never really let this idea go.  Jobs ne ver held onto an idea for long.",2,the two sentences are a contradiction.,contradiction
32,32,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.  Go downards to one of the gates , all of which will lead you into the cathedral.",2,the two sentences are a contradiction.,contradiction
